,date,dayofweek,goals_for,xg_against,possession,goals_against,attendance,venue,opponent,round,formation,captain,match_report,result,referee,xg_for
175,2022-02-14,Mon,2,1.9,55,3,"12,904",Away,Mallorca,Matchweek 24,4-4-2,Iker Muniain,Match Report,L,Isidro Díaz de Mera,1.6
176,2022-02-20,Sun,4,0.4,48,0,"40,698",Home,Real Sociedad,Matchweek 25,4-4-2,Iker Muniain,Match Report,W,Juan Martínez,2.8
177,2022-02-27,Sun,0,3.1,29,4,"69,770",Away,Barcelona,Matchweek 26,4-4-2,Raúl García,Match Report,L,Guillermo Cuadra,0.3
178,2022-03-07,Mon,3,0.5,50,1,"29,485",Home,Levante,Matchweek 27,4-4-2,Iker Muniain,Match Report,W,Alejandro Muñíz,3.1
179,2022-03-13,Sun,0,0.7,49,1,"48,876",Away,Betis,Matchweek 28,4-4-2,Iker Muniain,Match Report,L,Antonio Matéu Lahoz,0.5
180,2022-03-18,Fri,1,0.4,66,1,"37,367",Home,Getafe,Matchweek 29,4-4-2,Iker Muniain,Match Report,D,Jesús Gil,2.0
181,2022-04-03,Sun,2,0.5,48,1,"34,572",Home,Elche,Matchweek 30,4-4-2,Iker Muniain,Match Report,W,Jorge Figueroa,1.9
182,2022-04-09,Sat,1,1.3,40,1,"16,603",Away,Villarreal,Matchweek 31,4-4-2,Iker Muniain,Match Report,D,Carlos del Cerro,1.8
183,2022-04-17,Sun,0,0.4,50,2,"35,541",Home,Celta Vigo,Matchweek 32,4-4-2,Iker Muniain,Match Report,L,Alejandro Hernández,0.5
184,2022-04-21,Thu,3,3.1,42,2,"17,360",Away,Cádiz,Matchweek 33,4-4-2,Iker Muniain,Match Report,W,Valentín Pizarro,1.6
185,2022-04-30,Sat,2,0.7,43,0,"43,398",Home,Atlético Madrid,Matchweek 34,4-4-2,Iker Muniain,Match Report,W,Antonio Matéu Lahoz,1.3
186,2022-05-07,Sat,0,0.1,59,0,"41,091",Home,Valencia,Matchweek 35,4-4-2,Iker Muniain,Match Report,D,Isidro Díaz de Mera,1.3
187,2022-05-10,Tue,0,0.9,59,1,"16,638",Away,Granada,Matchweek 36,4-4-2,Iker Muniain,Match Report,L,José Sánchez,0.3
188,2022-05-15,Sun,2,0.9,45,0,"37,869",Home,Osasuna,Matchweek 37,4-4-2,Iker Muniain,Match Report,W,Jorge Figueroa,1.1
189,2022-05-22,Sun,0,1.2,34,1,"31,305",Away,Sevilla,Matchweek 38,4-4-2,Iker Muniain,Match Report,L,Carlos del Cerro,0.7
190,2022-08-15,Mon,0,0.4,64,0,"39,747",Home,Mallorca,Matchweek 1,4-3-3,Iker Muniain,Match Report,D,Javier Villanueva,1.6
191,2022-08-21,Sun,1,0.7,38,0,"43,333",Home,Valencia,Matchweek 2,4-2-3-1,Iker Muniain,Match Report,W,César Soto,1.0
192,2022-08-29,Mon,4,0.4,62,0,"17,029",Away,Cádiz,Matchweek 3,4-2-3-1,Iker Muniain,Match Report,W,Miguel Ángel Ortiz Arias,2.4
193,2022-09-04,Sun,0,0.6,66,1,"41,574",Home,Espanyol,Matchweek 4,4-2-3-1,Iker Muniain,Match Report,L,Juan Martínez,1.2
194,2022-09-11,Sun,4,0.9,53,1,"24,176",Away,Elche,Matchweek 5,4-2-3-1,Iker Muniain,Match Report,W,Mario Melero,2.7
195,2022-09-17,Sat,3,0.7,39,2,"43,484",Home,Rayo Vallecano,Matchweek 6,4-2-3-1,Iker Muniain,Match Report,W,Antonio Matéu Lahoz,1.9
196,2022-09-30,Fri,4,0.7,58,0,"42,110",Home,Almería,Matchweek 7,4-2-3-1,Iker Muniain,Match Report,W,Juan Pulido,2.1
197,2022-10-08,Sat,1,1.0,55,1,"36,502",Away,Sevilla,Matchweek 8,4-2-3-1,Iker Muniain,Match Report,D,Jesús Gil,1.7
198,2022-10-15,Sat,0,0.3,60,1,"48,391",Home,Atlético Madrid,Matchweek 9,4-2-3-1,Iker Muniain,Match Report,L,Jorge Figueroa,1.2
199,2022-10-18,Tue,2,0.8,59,2,"11,395",Away,Getafe,Matchweek 10,4-2-3-1,Iker Muniain,Match Report,D,José Luis Munuera,1.0
200,2022-10-23,Sun,0,1.4,35,4,"84,817",Away,Barcelona,Matchweek 11,4-2-3-1,Óscar de Marcos,Match Report,L,Juan Martínez,0.5
201,2022-10-30,Sun,1,0.3,43,0,"46,081",Home,Villarreal,Matchweek 12,4-2-3-1,Óscar de Marcos,Match Report,W,Miguel Ángel Ortiz Arias,1.7
202,2022-11-04,Fri,1,1.0,58,2,"11,420",Away,Girona,Matchweek 13,4-2-3-1,Iñaki Williams,Match Report,L,Valentín Pizarro,0.7
203,2022-11-08,Tue,3,0.5,43,0,"40,072",Home,Valladolid,Matchweek 14,4-1-4-1,Óscar de Marcos,Match Report,W,Isidro Díaz de Mera,2.1
204,2022-12-29,Thu,0,0.5,47,0,"53,565",Away,Betis,Matchweek 15,4-2-3-1,Óscar de Marcos,Match Report,D,Alejandro Hernández,0.4
205,2023-01-09,Mon,0,0.4,59,0,"39,216",Home,Osasuna,Matchweek 16,4-2-3-1,Óscar de Marcos,Match Report,D,Mario Melero,1.0
206,2023-01-14,Sat,1,2.0,43,3,"38,296",Away,Real Sociedad,Matchweek 17,4-2-3-1,Óscar de Marcos,Match Report,L,Guillermo Cuadra,0.3
207,2023-01-22,Sun,0,1.1,51,2,"49,316",Home,Real Madrid,Matchweek 18,4-2-3-1,Óscar de Marcos,Match Report,L,José Sánchez,1.1
208,2023-01-29,Sun,0,0.7,51,1,"14,754",Away,Celta Vigo,Matchweek 19,4-2-3-1,Iker Muniain,Match Report,L,Isidro Díaz de Mera,0.4
209,2023-02-03,Fri,4,1.6,42,1,"42,916",Home,Cádiz,Matchweek 20,4-1-4-1,Iker Muniain,Match Report,W,Valentín Pizarro,1.7
210,2023-02-11,Sat,2,1.6,51,1,"36,688",Away,Valencia,Matchweek 21,4-2-3-1,Iker Muniain,Match Report,W,César Soto,1.5
211,2023-02-19,Sun,0,1.2,43,1,"61,617",Away,Atlético Madrid,Matchweek 22,4-2-3-1,Iker Muniain,Match Report,L,Juan Martínez,0.8
212,2023-02-26,Sun,2,1.1,60,3,"42,816",Home,Girona,Matchweek 23,4-2-3-1,Iker Muniain,Match Report,L,Isidro Díaz de Mera,1.6
213,2023-03-05,Sun,0,1.1,45,0,"12,979",Away,Rayo Vallecano,Matchweek 24,4-2-3-1,Iñigo Lekue,Match Report,D,Mario Melero,1.3
214,2023-03-12,Sun,0,0.9,38,1,"49,741",Home,Barcelona,Matchweek 25,4-2-3-1,Óscar de Marcos,Match Report,L,Jesús Gil,0.9
215,2023-03-17,Fri,3,1.1,52,1,"21,707",Away,Valladolid,Matchweek 26,4-2-3-1,Óscar de Marcos,Match Report,W,Alberola Rojas,2.6
216,2023-04-01,Sat,0,0.8,65,0,"43,782",Home,Getafe,Matchweek 27,4-3-3,Iker Muniain,Match Report,D,Javier Villanueva,0.9
217,2023-04-08,Sat,2,0.9,51,1,"24,903",Away,Espanyol,Matchweek 28,4-2-3-1,Óscar de Marcos,Match Report,W,José Luis Munuera,2.3
218,2023-04-15,Sat,2,1.4,51,0,"49,287",Home,Real Sociedad,Matchweek 29,4-2-3-1,Iñaki Williams,Match Report,W,César Soto,0.8
219,2023-04-22,Sat,2,0.8,47,1,"13,271",Away,Almería,Matchweek 30,4-2-3-1,Óscar de Marcos,Match Report,W,Valentín Pizarro,1.7
220,2023-04-27,Thu,0,1.0,54,1,"42,716",Home,Sevilla,Matchweek 31,4-2-3-1,Óscar de Marcos,Match Report,L,Alejandro Hernández,0.3
221,2023-05-01,Mon,1,0.9,70,1,"16,807",Away,Mallorca,Matchweek 32,4-2-3-1,Iñaki Williams,Match Report,D,Jorge Figueroa,1.7
222,2023-05-04,Thu,0,1.2,63,1,"43,116",Home,Betis,Matchweek 33,4-2-3-1,Óscar de Marcos,Match Report,L,Miguel Ángel Ortiz Arias,1.6
223,2023-05-13,Sat,1,3.2,44,5,"16,871",Away,Villarreal,Matchweek 34,4-2-3-1,Iñaki Williams,Match Report,L,Carlos del Cerro,3.1
224,2023-05-20,Sat,2,0.5,49,1,"40,759",Home,Celta Vigo,Matchweek 35,4-1-4-1,Iker Muniain,Match Report,W,Mario Melero,1.0
225,2023-05-25,Thu,0,0.8,51,2,"19,830",Away,Osasuna,Matchweek 36,4-2-3-1,Iker Muniain,Match Report,L,Alejandro Muñíz,0.8
226,2023-05-28,Sun,0,0.9,64,1,"37,807",Home,Elche,Matchweek 37,4-2-3-1,Iker Muniain,Match Report,L,Valentín Pizarro,2.4
227,2023-06-04,Sun,1,1.8,36,1,"60,781",Away,Real Madrid,Matchweek 38,4-2-3-1,Óscar de Marcos,Match Report,D,Isidro Díaz de Mera,2.3
228,2023-08-12,Sat,0,0.9,46,2,"48,927",Home,Real Madrid,Matchweek 1,4-2-3-1,Iker Muniain,Match Report,L,Jesús Gil,0.4
229,2023-08-19,Sat,2,1.3,37,0,"20,704",Away,Osasuna,Matchweek 2,4-2-3-1,Óscar de Marcos,Match Report,W,José Luis Munuera,1.5
230,2023-08-27,Sun,4,0.4,48,2,"44,340",Home,Betis,Matchweek 3,4-2-3-1,Iker Muniain,Match Report,W,César Soto,2.9
231,2023-09-03,Sun,0,0.4,67,0,"17,043",Away,Mallorca,Matchweek 4,4-2-3-1,Iñaki Williams,Match Report,D,Jorge Figueroa,0.6
232,2023-09-16,Sat,3,0.3,65,0,"42,881",Home,Cádiz,Matchweek 5,4-2-3-1,Óscar de Marcos,Match Report,W,Guillermo Cuadra,2.9
233,2023-09-22,Fri,2,1.1,56,0,"19,421",Away,Alavés,Matchweek 6,4-2-3-1,Óscar de Marcos,Match Report,W,Alejandro Muñíz,1.7
234,2023-09-27,Wed,2,1.4,49,2,"43,091",Home,Getafe,Matchweek 7,4-2-3-1,Óscar de Marcos,Match Report,D,Isidro Díaz de Mera,0.7
235,2023-09-30,Sat,0,1.4,49,3,"38,229",Away,Real Sociedad,Matchweek 8,4-2-3-1,Iker Muniain,Match Report,L,Jesús Gil,1.8
236,2023-10-06,Fri,3,0.1,59,0,"43,677",Home,Almería,Matchweek 9,4-2-3-1,Óscar de Marcos,Match Report,W,Víctor García,1.9
237,2023-10-22,Sun,0,1.3,38,1,"38,194",Away,Barcelona,Matchweek 10,4-2-3-1,Óscar de Marcos,Match Report,L,Juan Martínez,0.4
238,2023-10-29,Sun,2,1.9,57,2,"46,563",Home,Valencia,Matchweek 11,4-2-3-1,Óscar de Marcos,Match Report,D,Jorge Figueroa,1.9
239,2023-11-05,Sun,3,2.1,43,2,"18,709",Away,Villarreal,Matchweek 12,4-2-3-1,Óscar de Marcos,Match Report,W,Guillermo Cuadra,2.3
240,2023-11-10,Fri,4,2.1,58,3,"44,435",Home,Celta Vigo,Matchweek 13,4-2-3-1,Óscar de Marcos,Match Report,W,Juan Pulido,4.6
241,2023-11-27,Mon,1,1.3,40,1,"13,123",Away,Girona,Matchweek 14,4-2-3-1,Óscar de Marcos,Match Report,D,Mario Melero,1.5
242,2023-12-02,Sat,4,0.5,51,0,"44,689",Home,Rayo Vallecano,Matchweek 15,4-2-3-1,Óscar de Marcos,Match Report,W,Francisco Hernández,1.3
243,2023-12-11,Mon,1,0.7,52,1,"12,849",Away,Granada,Matchweek 16,4-2-3-1,Óscar de Marcos,Match Report,D,Miguel Ángel Ortiz Arias,1.1
244,2023-12-16,Sat,,,,,,Home,Atlético Madrid,Matchweek 17,,,Head-to-Head,,,
245,2023-12-20,Wed,,,,,,Home,Las Palmas,Matchweek 18,,,Head-to-Head,,,
246,2024-01-04,Thu,,,,,,Away,Sevilla,Matchweek 19,,,Head-to-Head,,,
247,2024-01-14,Sun,,,,,,Home,Real Sociedad,Matchweek 20,,,Head-to-Head,,,
248,2024-01-21,Sun,,,,,,Away,Valencia,Matchweek 21,,,Head-to-Head,,,
249,2024-01-28,Sun,,,,,,Away,Cádiz,Matchweek 22,,,Head-to-Head,,,
250,2024-02-04,Sun,,,,,,Home,Mallorca,Matchweek 23,,,Head-to-Head,,,
251,2024-02-11,Sun,,,,,,Away,Almería,Matchweek 24,,,Head-to-Head,,,
252,2024-02-18,Sun,,,,,,Home,Girona,Matchweek 25,,,Head-to-Head,,,
253,2024-02-25,Sun,,,,,,Away,Betis,Matchweek 26,,,Head-to-Head,,,
254,2024-03-03,Sun,,,,,,Home,Barcelona,Matchweek 27,,,Head-to-Head,,,
255,2024-03-10,Sun,,,,,,Away,Las Palmas,Matchweek 28,,,Head-to-Head,,,
256,2024-03-17,Sun,,,,,,Home,Alavés,Matchweek 29,,,Head-to-Head,,,
257,2024-03-31,Sun,,,,,,Away,Real Madrid,Matchweek 30,,,Head-to-Head,,,
258,2024-04-14,Sun,,,,,,Home,Villarreal,Matchweek 31,,,Head-to-Head,,,
259,2024-04-21,Sun,,,,,,Home,Granada,Matchweek 32,,,Head-to-Head,,,
260,2024-04-28,Sun,,,,,,Away,Atlético Madrid,Matchweek 33,,,Head-to-Head,,,
261,2024-05-05,Sun,,,,,,Away,Getafe,Matchweek 34,,,Head-to-Head,,,
262,2024-05-12,Sun,,,,,,Home,Osasuna,Matchweek 35,,,Head-to-Head,,,
263,2024-05-15,Wed,,,,,,Away,Celta Vigo,Matchweek 36,,,Head-to-Head,,,
264,2024-05-19,Sun,,,,,,Home,Sevilla,Matchweek 37,,,Head-to-Head,,,
265,2024-05-26,Sun,,,,,,Away,Rayo Vallecano,Matchweek 38,,,Head-to-Head,,,
